Bank,Loan_Type,Amount,Interest_Rate,Issue_Date,Tenor_Years,Status,Is_NPA,Region,Amount_Band,Issue_Year,Issue_Month
HSBC,Mortgage,389951.0,9.97,2022-02-21,30,Current,0,Asia,200-500K,2022,2
HSBC,Credit Card,21714.72,6.01,2020-03-25,1,Current,0,UK,10-50K,2020,3
HSBC,Mortgage,486501.08,5.16,2023-02-07,20,Current,0,UK,200-500K,2023,2
HSBC,Personal Loan,28280.68,9.44,2021-08-08,20,Current,0,UK,10-50K,2021,8
HSBC,Mortgage,435443.19,10.36,2022-03-02,1,Current,0,UK,200-500K,2022,3
HSBC,Business Loan,932656.43,7.29,2023-03-24,25,Current,0,Europe,500K+,2023,3
HSBC,Auto Loan,10897.69,4.74,2020-03-04,5,Current,0,US,10-50K,2020,3
HSBC,Personal Loan,37139.86,5.85,2023-12-12,30,Current,0,Asia,10-50K,2023,12
HSBC,Mortgage,159489.68,6.76,2022-02-18,15,Current,0,US,50-200K,2022,2
HSBC,Business Loan,1200426.77,11.91,2023-02-08,5,Current,0,UK,500K+,2023,2
HSBC,Business Loan,390102.75,5.48,2023-05-09,15,Current,0,Europe,200-500K,2023,5
HSBC,Business Loan,1915651.25,7.41,2022-05-14,25,Current,0,Europe,500K+,2022,5
HSBC,Business Loan,1870162.04,6.99,2019-02-03,25,Current,0,Asia,500K+,2019,2
HSBC,Personal Loan,42865.74,6.47,2020-08-12,5,Current,0,UK,10-50K,2020,8
HSBC,Mortgage,126872.68,12.06,2022-04-17,1,Current,0,UK,50-200K,2022,4
HSBC,Personal Loan,49492.92,9.31,2019-05-12,15,Current,0,US,10-50K,2019,5
HSBC,Mortgage,483380.05,7.71,2019-05-07,10,Current,0,Asia,200-500K,2019,5
HSBC,Credit Card,6221.65,6.03,2019-09-14,5,Current,0,Asia,<10K,2019,9
HSBC,Personal Loan,12423.07,9.62,2023-03-13,15,Current,0,US,10-50K,2023,3
HSBC,Mortgage,478997.71,3.61,2022-08-08,20,Current,0,UK,200-500K,2022,8
HSBC,Mortgage,155170.47,7.19,2020-01-09,3,Current,0,Europe,50-200K,2020,1
HSBC,Mortgage,242908.43,6.12,2019-12-15,1,Current,0,US,200-500K,2019,12
HSBC,Mortgage,479119.05,6.61,2019-12-26,15,Current,0,UK,200-500K,2019,12
HSBC,Business Loan,762793.52,5.61,2023-12-30,15,90+ DPD,1,UK,500K+,2023,12
HSBC,Business Loan,841378.45,9.3,2023-09-06,3,Current,0,Asia,500K+,2023,9
HSBC,Auto Loan,52815.9,7.73,2022-09-28,1,Current,0,US,50-200K,2022,9
HSBC,Business Loan,1842980.88,10.81,2020-02-05,2,Current,0,US,500K+,2020,2
HSBC,Auto Loan,47485.37,7.55,2020-06-26,2,Current,0,Asia,10-50K,2020,6
HSBC,Mortgage,450446.83,5.53,2022-10-24,25,Current,0,UK,200-500K,2022,10
HSBC,Personal Loan,17821.01,10.54,2019-04-24,20,Current,0,UK,10-50K,2019,4
HSBC,Auto Loan,32328.03,5.84,2020-03-30,15,Current,0,US,10-50K,2020,3
HSBC,Business Loan,1482225.92,11.13,2019-10-20,2,Current,0,Europe,500K+,2019,10
HSBC,Business Loan,608187.02,4.25,2023-11-04,30,Current,0,US,500K+,2023,11
HSBC,Mortgage,96730.24,7.74,2019-03-15,10,Current,0,UK,50-200K,2019,3
HSBC,Mortgage,81074.3,9.05,2022-01-05,5,Current,0,UK,50-200K,2022,1
HSBC,Business Loan,1967205.47,11.68,2020-10-27,2,Current,0,US,500K+,2020,10
HSBC,Auto Loan,59560.96,4.52,2019-04-27,25,Current,0,Asia,50-200K,2019,4
HSBC,Mortgage,471255.81,5.5,2023-09-26,5,Current,0,US,200-500K,2023,9
HSBC,Business Loan,243774.22,9.21,2019-07-13,3,Current,0,Asia,200-500K,2019,7
HSBC,Business Loan,1732467.64,5.21,2020-04-29,20,Current,0,UK,500K+,2020,4
HSBC,Mortgage,214041.35,12.32,2022-11-14,20,Current,0,Asia,200-500K,2022,11
HSBC,Business Loan,730618.05,4.92,2023-10-23,20,Current,0,US,500K+,2023,10
HSBC,Business Loan,352888.78,8.78,2022-09-28,2,Current,0,Europe,200-500K,2022,9
HSBC,Auto Loan,53068.75,12.23,2020-09-27,5,Current,0,UK,50-200K,2020,9
HSBC,Personal Loan,19999.21,11.39,2019-02-25,3,Current,0,Europe,10-50K,2019,2
HSBC,Business Loan,1097514.39,10.17,2021-07-28,10,Current,0,UK,500K+,2021,7
HSBC,Auto Loan,34580.89,4.19,2023-04-11,1,Current,0,UK,10-50K,2023,4
HSBC,Mortgage,167585.81,6.64,2019-11-16,30,Current,0,UK,50-200K,2019,11
HSBC,Business Loan,883080.84,5.31,2022-04-10,1,Current,0,UK,500K+,2022,4
HSBC,Personal Loan,39953.59,11.68,2019-12-22,2,60-day DPD,0,Asia,10-50K,2019,12
HSBC,Mortgage,263826.38,5.84,2020-07-06,5,Current,0,US,200-500K,2020,7
HSBC,Personal Loan,46135.6,9.18,2023-04-01,25,Written Off,1,UK,10-50K,2023,4
HSBC,Personal Loan,36299.85,9.6,2022-08-22,15,Current,0,Asia,10-50K,2022,8
HSBC,Mortgage,371967.54,11.38,2021-08-14,15,Current,0,US,200-500K,2021,8
HSBC,Business Loan,1764838.83,5.6,2020-03-20,30,Written Off,1,UK,500K+,2020,3
HSBC,Business Loan,287763.11,12.43,2019-01-02,1,Current,0,UK,200-500K,2019,1
HSBC,Business Loan,575033.38,12.38,2021-01-11,15,Current,0,US,500K+,2021,1
HSBC,Business Loan,1001546.51,4.57,2019-06-02,30,Current,0,Asia,500K+,2019,6
HSBC,Business Loan,307354.79,8.63,2021-03-12,5,Current,0,US,200-500K,2021,3
HSBC,Credit Card,5793.94,5.96,2020-10-18,5,Current,0,UK,<10K,2020,10
HSBC,Business Loan,1942558.28,4.01,2020-10-06,30,Current,0,UK,500K+,2020,10
HSBC,Business Loan,1162339.51,6.02,2020-02-10,1,Current,0,US,500K+,2020,2
HSBC,Credit Card,5368.99,3.97,2020-05-05,2,Current,0,UK,<10K,2020,5
HSBC,Mortgage,413960.88,11.89,2021-09-23,3,Current,0,Middle East,200-500K,2021,9
HSBC,Personal Loan,13555.55,8.71,2023-03-11,10,Current,0,Europe,10-50K,2023,3
HSBC,Mortgage,303182.09,5.41,2021-03-13,30,Current,0,US,200-500K,2021,3
HSBC,Mortgage,234898.55,8.8,2023-05-08,3,Current,0,UK,200-500K,2023,5
HSBC,Credit Card,20884.1,4.83,2023-09-15,10,Current,0,UK,10-50K,2023,9
HSBC,Personal Loan,38720.12,7.77,2020-02-18,5,Current,0,UK,10-50K,2020,2
HSBC,Personal Loan,46202.64,7.04,2021-05-15,3,Current,0,US,10-50K,2021,5
HSBC,Business Loan,377414.89,12.47,2021-06-06,10,Current,0,Europe,200-500K,2021,6
HSBC,Business Loan,239532.63,9.58,2019-01-14,25,Current,0,Middle East,200-500K,2019,1
HSBC,Personal Loan,32809.1,6.79,2020-03-28,3,Current,0,Europe,10-50K,2020,3
HSBC,Mortgage,141079.87,5.4,2020-04-08,25,Current,0,Asia,50-200K,2020,4
HSBC,Business Loan,465081.76,11.15,2021-08-02,1,Current,0,UK,200-500K,2021,8
HSBC,Personal Loan,19138.27,6.88,2023-02-24,2,Current,0,UK,10-50K,2023,2
HSBC,Business Loan,183249.98,3.84,2019-05-11,10,Current,0,UK,50-200K,2019,5
HSBC,Mortgage,484089.02,6.07,2022-04-17,10,Current,0,US,200-500K,2022,4
HSBC,Mortgage,248348.19,12.36,2020-01-28,3,Current,0,Europe,200-500K,2020,1
HSBC,Business Loan,1494372.57,7.69,2023-05-13,10,Current,0,US,500K+,2023,5
HSBC,Mortgage,352497.24,4.63,2020-03-13,25,Current,0,US,200-500K,2020,3
HSBC,Mortgage,291682.08,10.52,2020-02-02,10,Current,0,Asia,200-500K,2020,2
HSBC,Personal Loan,12653.37,6.1,2023-10-06,2,Current,0,UK,10-50K,2023,10
HSBC,Business Loan,1076839.53,7.63,2023-04-13,20,Current,0,US,500K+,2023,4
HSBC,Credit Card,23320.12,9.56,2023-12-07,3,Current,0,Europe,10-50K,2023,12
HSBC,Auto Loan,29441.46,6.83,2022-12-09,20,Current,0,US,10-50K,2022,12
HSBC,Mortgage,369878.06,5.86,2020-06-08,2,Current,0,Asia,200-500K,2020,6
HSBC,Business Loan,566906.11,6.92,2021-02-09,30,Current,0,UK,500K+,2021,2
HSBC,Mortgage,254962.21,6.78,2019-10-17,2,Current,0,Asia,200-500K,2019,10
HSBC,Mortgage,286420.36,6.26,2022-08-14,20,Current,0,UK,200-500K,2022,8
HSBC,Mortgage,461047.9,5.32,2022-08-09,15,Current,0,Europe,200-500K,2022,8
HSBC,Credit Card,24360.85,7.67,2021-02-08,2,Current,0,UK,10-50K,2021,2
HSBC,Business Loan,1347841.41,7.53,2021-06-24,5,Current,0,US,500K+,2021,6
HSBC,Personal Loan,43740.96,8.51,2020-07-09,30,Current,0,Europe,10-50K,2020,7
HSBC,Credit Card,21410.13,10.73,2022-07-09,1,Written Off,1,US,10-50K,2022,7
HSBC,Mortgage,176744.31,11.74,2023-02-12,25,Current,0,Europe,50-200K,2023,2
HSBC,Auto Loan,25530.67,4.98,2023-05-07,5,Current,0,Middle East,10-50K,2023,5
HSBC,Mortgage,219350.77,8.34,2022-06-25,20,Current,0,Europe,200-500K,2022,6
HSBC,Business Loan,1507706.14,4.98,2020-06-03,30,Current,0,Europe,500K+,2020,6
HSBC,Auto Loan,30284.78,12.31,2022-09-18,30,Current,0,Asia,10-50K,2022,9
HSBC,Business Loan,769024.98,3.85,2020-03-16,25,Current,0,Europe,500K+,2020,3
HSBC,Credit Card,18018.31,8.43,2022-05-24,25,Current,0,US,10-50K,2022,5
HSBC,Mortgage,495465.65,8.75,2022-02-24,25,Current,0,Europe,200-500K,2022,2
HSBC,Mortgage,192921.69,6.4,2022-05-20,15,Current,0,UK,50-200K,2022,5
HSBC,Mortgage,264928.51,10.43,2022-01-25,25,Current,0,Asia,200-500K,2022,1
HSBC,Credit Card,3132.08,9.27,2020-03-06,2,Current,0,Asia,<10K,2020,3
HSBC,Personal Loan,23071.89,7.46,2020-05-17,2,30-day DPD,0,UK,10-50K,2020,5
HSBC,Business Loan,693675.43,5.77,2022-09-21,1,Current,0,UK,500K+,2022,9
HSBC,Personal Loan,8613.82,7.44,2020-10-14,3,30-day DPD,0,US,<10K,2020,10
HSBC,Mortgage,336834.63,7.69,2019-03-05,2,Current,0,UK,200-500K,2019,3
HSBC,Business Loan,1433651.76,10.65,2021-04-08,2,Current,0,UK,500K+,2021,4
HSBC,Credit Card,18212.63,10.1,2020-08-29,3,Current,0,UK,10-50K,2020,8
HSBC,Auto Loan,44613.5,4.4,2023-05-29,20,Current,0,US,10-50K,2023,5
HSBC,Mortgage,459415.87,6.67,2020-12-17,2,Current,0,UK,200-500K,2020,12
HSBC,Auto Loan,40243.66,5.78,2023-09-01,2,Current,0,US,10-50K,2023,9
HSBC,Personal Loan,21382.36,7.41,2022-06-17,30,Current,0,Europe,10-50K,2022,6
HSBC,Auto Loan,35273.59,8.03,2020-06-15,30,Current,0,Middle East,10-50K,2020,6
HSBC,Personal Loan,13687.19,11.48,2021-07-18,25,Current,0,US,10-50K,2021,7
HSBC,Business Loan,1997326.26,11.16,2022-02-24,5,60-day DPD,0,UK,500K+,2022,2
HSBC,Business Loan,908872.99,12.44,2021-03-14,20,Current,0,UK,500K+,2021,3
HSBC,Mortgage,476349.73,7.48,2021-02-28,20,Current,0,US,200-500K,2021,2
HSBC,Mortgage,161683.35,5.14,2021-07-14,3,Current,0,Asia,50-200K,2021,7
HSBC,Mortgage,176537.92,7.71,2020-05-14,5,Current,0,Europe,50-200K,2020,5
HSBC,Business Loan,1640472.16,6.41,2022-06-22,2,Current,0,Middle East,500K+,2022,6
HSBC,Mortgage,242929.23,11.13,2022-04-26,3,Current,0,Asia,200-500K,2022,4
HSBC,Mortgage,442128.88,4.84,2019-01-19,25,60-day DPD,0,Asia,200-500K,2019,1
HSBC,Mortgage,237441.28,4.17,2023-12-29,3,Current,0,Asia,200-500K,2023,12
HSBC,Business Loan,1505867.24,3.67,2019-06-09,25,Current,0,Asia,500K+,2019,6
HSBC,Mortgage,364975.81,4.38,2019-04-10,3,Current,0,UK,200-500K,2019,4
HSBC,Credit Card,19850.73,9.35,2021-05-15,10,Current,0,US,10-50K,2021,5
HSBC,Mortgage,109727.9,7.53,2022-02-09,5,Current,0,UK,50-200K,2022,2
HSBC,Mortgage,278375.83,3.79,2023-04-27,20,Current,0,Europe,200-500K,2023,4
HSBC,Personal Loan,49010.31,3.84,2021-07-23,30,Current,0,Middle East,10-50K,2021,7
HSBC,Business Loan,602147.17,11.68,2023-05-06,10,Current,0,Asia,500K+,2023,5
HSBC,Mortgage,189208.65,11.48,2019-06-15,30,Current,0,Europe,50-200K,2019,6
HSBC,Mortgage,205250.49,6.25,2023-01-01,1,Current,0,Asia,200-500K,2023,1
HSBC,Business Loan,1680931.83,3.9,2022-07-23,5,Current,0,US,500K+,2022,7
HSBC,Personal Loan,42197.55,5.13,2021-06-01,5,Current,0,Asia,10-50K,2021,6
HSBC,Personal Loan,49353.19,10.85,2023-10-22,3,Current,0,US,10-50K,2023,10
HSBC,Mortgage,143234.58,7.37,2021-07-16,25,Current,0,US,50-200K,2021,7
HSBC,Mortgage,311197.89,4.17,2021-07-10,5,Current,0,UK,200-500K,2021,7
HSBC,Business Loan,498028.35,11.22,2023-09-19,1,Current,0,Europe,200-500K,2023,9
HSBC,Mortgage,145899.86,9.01,2020-03-03,20,Current,0,Europe,50-200K,2020,3
HSBC,Mortgage,140676.96,11.46,2019-04-22,5,Current,0,UK,50-200K,2019,4
HSBC,Mortgage,486381.23,4.87,2023-08-12,1,Current,0,UK,200-500K,2023,8
HSBC,Business Loan,254372.24,3.62,2022-05-10,30,Current,0,UK,200-500K,2022,5
HSBC,Personal Loan,34628.69,5.93,2021-07-28,10,Current,0,UK,10-50K,2021,7
HSBC,Personal Loan,46585.34,9.98,2021-07-03,3,Current,0,US,10-50K,2021,7
HSBC,Personal Loan,47985.53,9.03,2019-05-21,15,Current,0,UK,10-50K,2019,5
HSBC,Business Loan,92313.14,8.98,2022-03-07,1,Current,0,US,50-200K,2022,3
HSBC,Mortgage,189481.62,7.82,2022-09-17,30,Current,0,Europe,50-200K,2022,9
HSBC,Credit Card,11034.37,6.15,2019-12-13,15,Current,0,Middle East,10-50K,2019,12
HSBC,Mortgage,278731.74,9.07,2021-09-19,3,Current,0,US,200-500K,2021,9
HSBC,Business Loan,1274140.04,11.53,2019-06-20,20,Current,0,UK,500K+,2019,6
HSBC,Personal Loan,48895.6,10.99,2019-04-20,10,Current,0,Asia,10-50K,2019,4
HSBC,Mortgage,467231.54,6.82,2022-04-05,1,Current,0,Asia,200-500K,2022,4
HSBC,Personal Loan,35594.8,10.53,2022-01-03,30,Current,0,UK,10-50K,2022,1
HSBC,Mortgage,315984.86,12.23,2022-08-13,2,Current,0,Asia,200-500K,2022,8
HSBC,Mortgage,385532.69,11.03,2019-06-25,15,Current,0,Europe,200-500K,2019,6
HSBC,Business Loan,332401.65,4.42,2020-03-06,3,Current,0,UK,200-500K,2020,3
HSBC,Auto Loan,8123.31,10.62,2019-11-07,15,Current,0,UK,<10K,2019,11
HSBC,Mortgage,344874.84,10.97,2019-03-17,3,Current,0,Europe,200-500K,2019,3
HSBC,Credit Card,14856.25,5.46,2021-06-26,2,Current,0,Middle East,10-50K,2021,6
HSBC,Personal Loan,39464.67,6.23,2022-11-22,2,Current,0,Asia,10-50K,2022,11
HSBC,Business Loan,118280.48,11.06,2022-06-13,1,Current,0,Middle East,50-200K,2022,6
HSBC,Auto Loan,58425.7,4.13,2023-05-12,20,Current,0,US,50-200K,2023,5
HSBC,Credit Card,15182.35,8.85,2022-06-06,1,Current,0,UK,10-50K,2022,6
HSBC,Mortgage,445190.28,6.38,2022-09-07,2,60-day DPD,0,Asia,200-500K,2022,9
HSBC,Personal Loan,45378.72,4.5,2022-06-05,1,Current,0,Middle East,10-50K,2022,6
HSBC,Personal Loan,38760.98,7.33,2023-03-19,25,Current,0,US,10-50K,2023,3
HSBC,Business Loan,1901388.74,6.06,2021-12-11,2,Current,0,UK,500K+,2021,12
HSBC,Credit Card,1243.28,5.78,2023-06-19,2,Current,0,Asia,<10K,2023,6
HSBC,Business Loan,1148972.83,11.56,2022-03-17,15,Current,0,Europe,500K+,2022,3
HSBC,Business Loan,425656.17,7.85,2022-03-12,30,Current,0,Asia,200-500K,2022,3
HSBC,Mortgage,152900.37,7.73,2020-02-20,25,90+ DPD,1,US,50-200K,2020,2
HSBC,Mortgage,197665.44,9.81,2022-11-17,15,Current,0,UK,50-200K,2022,11
HSBC,Credit Card,9572.07,8.96,2019-01-17,1,Current,0,Europe,<10K,2019,1
HSBC,Auto Loan,43073.46,5.5,2020-01-11,10,Current,0,Asia,10-50K,2020,1
HSBC,Business Loan,1730372.54,6.22,2020-10-15,15,Current,0,Europe,500K+,2020,10
HSBC,Auto Loan,58392.1,6.38,2021-12-18,20,Current,0,Asia,50-200K,2021,12
HSBC,Personal Loan,48487.37,11.8,2020-04-21,15,Current,0,US,10-50K,2020,4
HSBC,Personal Loan,48348.48,6.52,2022-09-07,15,Current,0,UK,10-50K,2022,9
HSBC,Mortgage,344880.58,6.02,2023-12-19,25,Current,0,US,200-500K,2023,12
HSBC,Auto Loan,42344.34,12.09,2023-08-29,3,Current,0,US,10-50K,2023,8
HSBC,Mortgage,251337.44,7.95,2019-03-26,2,Current,0,Middle East,200-500K,2019,3
HSBC,Auto Loan,20979.75,5.91,2023-11-05,10,Current,0,UK,10-50K,2023,11
HSBC,Business Loan,732867.97,6.63,2023-11-18,25,Current,0,US,500K+,2023,11
HSBC,Business Loan,1604925.18,4.53,2021-07-08,1,Current,0,Asia,500K+,2021,7
HSBC,Mortgage,89158.1,10.34,2019-04-18,30,Current,0,UK,50-200K,2019,4
HSBC,Mortgage,329328.92,12.12,2019-01-13,1,30-day DPD,0,US,200-500K,2019,1
HSBC,Business Loan,583155.31,5.12,2019-08-04,15,Current,0,UK,500K+,2019,8
HSBC,Auto Loan,43055.11,7.26,2020-10-31,30,Current,0,UK,10-50K,2020,10
HSBC,Business Loan,398663.53,9.36,2021-05-21,2,Current,0,US,200-500K,2021,5
HSBC,Personal Loan,7401.99,9.53,2019-09-21,1,Current,0,Europe,<10K,2019,9
HSBC,Mortgage,131514.31,9.37,2023-07-06,30,Current,0,US,50-200K,2023,7
HSBC,Business Loan,1254660.43,7.98,2019-01-27,15,Current,0,Europe,500K+,2019,1
HSBC,Personal Loan,31410.87,7.04,2023-11-02,30,Current,0,US,10-50K,2023,11
HSBC,Business Loan,1548396.09,4.12,2023-06-09,25,Current,0,UK,500K+,2023,6
HSBC,Credit Card,2291.38,8.56,2021-12-04,5,Current,0,UK,<10K,2021,12
HSBC,Personal Loan,15006.91,11.25,2019-05-17,20,Current,0,Asia,10-50K,2019,5
HSBC,Business Loan,1580135.68,11.66,2021-11-22,20,Current,0,US,500K+,2021,11
HSBC,Business Loan,1784382.2,6.09,2021-03-26,5,30-day DPD,0,Asia,500K+,2021,3
HSBC,Auto Loan,37960.02,10.4,2020-09-09,25,Current,0,US,10-50K,2020,9
HSBC,Business Loan,1685841.89,12.16,2020-12-07,20,Current,0,Europe,500K+,2020,12
HSBC,Business Loan,726605.8,11.71,2020-01-07,15,60-day DPD,0,Asia,500K+,2020,1
HSBC,Business Loan,704721.71,6.55,2022-08-06,10,Current,0,US,500K+,2022,8
HSBC,Personal Loan,40841.26,8.16,2020-01-23,25,Current,0,Middle East,10-50K,2020,1
HSBC,Mortgage,143276.03,11.6,2023-08-24,5,Current,0,US,50-200K,2023,8
HSBC,Credit Card,2167.61,11.12,2020-04-08,5,Current,0,Asia,<10K,2020,4
HSBC,Mortgage,331319.26,7.52,2023-12-20,2,Current,0,UK,200-500K,2023,12
HSBC,Mortgage,301100.83,12.04,2021-03-31,5,Current,0,UK,200-500K,2021,3
HSBC,Personal Loan,5734.02,4.37,2019-01-29,10,Current,0,Europe,<10K,2019,1
HSBC,Personal Loan,36581.26,9.99,2019-09-16,5,Current,0,US,10-50K,2019,9
HSBC,Mortgage,325969.05,7.71,2023-11-22,25,Current,0,UK,200-500K,2023,11
HSBC,Personal Loan,25274.87,9.55,2021-02-17,20,Current,0,Asia,10-50K,2021,2
HSBC,Mortgage,252699.88,12.42,2019-12-05,5,Current,0,Middle East,200-500K,2019,12
HSBC,Personal Loan,12511.89,7.4,2021-12-19,5,60-day DPD,0,US,10-50K,2021,12
HSBC,Personal Loan,44192.8,11.91,2019-01-25,10,Current,0,UK,10-50K,2019,1
HSBC,Business Loan,1693269.93,9.65,2020-07-12,20,Current,0,UK,500K+,2020,7
HSBC,Credit Card,14700.7,4.15,2021-01-13,20,Current,0,US,10-50K,2021,1
HSBC,Business Loan,1781626.04,8.07,2022-11-23,1,Current,0,UK,500K+,2022,11
HSBC,Personal Loan,20325.22,8.94,2019-07-17,1,Current,0,UK,10-50K,2019,7
HSBC,Business Loan,1915632.25,9.74,2023-06-21,30,Current,0,Asia,500K+,2023,6
HSBC,Credit Card,14576.03,4.45,2020-12-11,15,Current,0,UK,10-50K,2020,12
HSBC,Business Loan,546813.21,7.55,2019-03-17,5,Current,0,Europe,500K+,2019,3
HSBC,Mortgage,380180.55,10.38,2019-06-06,1,Current,0,Asia,200-500K,2019,6
HSBC,Business Loan,181767.82,10.15,2022-06-07,20,Current,0,UK,50-200K,2022,6
HSBC,Personal Loan,39604.27,7.21,2022-04-15,5,Current,0,Europe,10-50K,2022,4
HSBC,Auto Loan,35255.38,7.57,2022-12-16,5,Current,0,UK,10-50K,2022,12
HSBC,Business Loan,1505030.75,5.54,2019-06-03,30,Current,0,UK,500K+,2019,6
HSBC,Personal Loan,44418.67,9.09,2019-07-23,20,Current,0,US,10-50K,2019,7
HSBC,Mortgage,421334.64,12.1,2022-01-26,2,Current,0,UK,200-500K,2022,1
HSBC,Business Loan,1181599.69,8.12,2019-03-13,15,Current,0,US,500K+,2019,3
HSBC,Business Loan,113039.32,11.54,2023-12-09,5,Current,0,US,50-200K,2023,12
HSBC,Business Loan,1147797.07,5.81,2020-03-13,15,Current,0,Europe,500K+,2020,3
HSBC,Mortgage,260091.64,6.12,2021-10-11,10,60-day DPD,0,UK,200-500K,2021,10
HSBC,Personal Loan,26081.04,8.82,2020-01-16,2,Current,0,US,10-50K,2020,1
HSBC,Business Loan,1899252.1,5.24,2023-11-12,20,Current,0,US,500K+,2023,11
HSBC,Business Loan,498769.48,3.68,2021-02-22,2,90+ DPD,1,UK,200-500K,2021,2
HSBC,Mortgage,306161.29,6.46,2022-07-24,5,Current,0,US,200-500K,2022,7
HSBC,Personal Loan,35301.79,7.57,2021-07-18,30,Current,0,US,10-50K,2021,7
HSBC,Auto Loan,58562.53,3.86,2020-08-26,2,Current,0,US,50-200K,2020,8
HSBC,Mortgage,467308.61,4.09,2023-09-21,15,Current,0,Asia,200-500K,2023,9
HSBC,Credit Card,19019.27,8.6,2023-02-10,2,Current,0,UK,10-50K,2023,2
HSBC,Personal Loan,39294.66,11.56,2021-07-26,25,Current,0,UK,10-50K,2021,7
HSBC,Mortgage,277707.6,8.45,2023-09-02,5,Current,0,US,200-500K,2023,9
HSBC,Mortgage,295162.33,10.59,2022-11-21,15,60-day DPD,0,UK,200-500K,2022,11
HSBC,Business Loan,1450571.13,9.69,2020-07-10,1,Current,0,Asia,500K+,2020,7
HSBC,Auto Loan,13974.56,10.49,2020-08-10,25,Current,0,UK,10-50K,2020,8
HSBC,Auto Loan,59141.89,10.4,2021-12-11,1,Current,0,Asia,50-200K,2021,12
HSBC,Personal Loan,8992.06,10.07,2019-01-15,5,Current,0,Asia,<10K,2019,1
HSBC,Credit Card,2705.02,4.28,2020-03-10,2,Current,0,Asia,<10K,2020,3
HSBC,Auto Loan,27059.94,5.39,2022-06-21,10,Current,0,Asia,10-50K,2022,6
HSBC,Auto Loan,39437.34,6.66,2022-02-20,15,Current,0,US,10-50K,2022,2
HSBC,Mortgage,220605.78,6.31,2021-11-18,10,Current,0,Europe,200-500K,2021,11
HSBC,Business Loan,748733.12,6.33,2019-07-28,30,Written Off,1,UK,500K+,2019,7
HSBC,Business Loan,592343.61,6.31,2023-07-29,3,Current,0,Asia,500K+,2023,7
HSBC,Business Loan,1241415.27,7.72,2023-03-20,1,Current,0,Middle East,500K+,2023,3
HSBC,Business Loan,319315.65,8.39,2019-10-18,10,30-day DPD,0,Asia,200-500K,2019,10
HSBC,Personal Loan,18318.28,11.84,2023-12-20,2,Current,0,UK,10-50K,2023,12
HSBC,Mortgage,132643.38,6.7,2022-12-05,3,90+ DPD,1,UK,50-200K,2022,12
HSBC,Business Loan,1730914.3,9.7,2019-10-18,10,Current,0,US,500K+,2019,10
HSBC,Personal Loan,21899.57,10.56,2020-04-18,25,Current,0,Europe,10-50K,2020,4
HSBC,Business Loan,1074245.57,3.75,2023-11-18,1,Current,0,Europe,500K+,2023,11
HSBC,Mortgage,494341.41,8.5,2022-07-15,3,Current,0,Asia,200-500K,2022,7
HSBC,Auto Loan,34180.5,6.67,2019-03-21,20,Current,0,Asia,10-50K,2019,3
HSBC,Auto Loan,27925.83,9.95,2023-05-10,15,Current,0,Asia,10-50K,2023,5
HSBC,Personal Loan,42920.26,5.26,2021-04-06,15,Current,0,US,10-50K,2021,4
HSBC,Personal Loan,12887.34,5.28,2023-02-03,30,Current,0,US,10-50K,2023,2
HSBC,Mortgage,381277.35,9.66,2019-03-17,5,Current,0,Asia,200-500K,2019,3
HSBC,Mortgage,293821.18,7.29,2023-09-13,5,Current,0,Europe,200-500K,2023,9
HSBC,Mortgage,485932.28,10.49,2019-09-24,3,Current,0,US,200-500K,2019,9
HSBC,Auto Loan,53517.42,10.93,2023-05-24,5,Current,0,UK,50-200K,2023,5
HSBC,Personal Loan,46951.65,8.4,2023-03-12,5,Current,0,Asia,10-50K,2023,3
HSBC,Business Loan,1953006.4,9.0,2020-06-15,3,Current,0,US,500K+,2020,6
HSBC,Personal Loan,48606.87,11.92,2020-10-24,25,Current,0,UK,10-50K,2020,10
HSBC,Auto Loan,9715.53,11.76,2021-09-01,30,Current,0,Europe,<10K,2021,9
HSBC,Business Loan,193630.06,4.45,2019-07-12,1,Current,0,Asia,50-200K,2019,7
HSBC,Business Loan,839391.52,5.83,2023-11-21,30,Written Off,1,Europe,500K+,2023,11
HSBC,Personal Loan,11500.11,12.36,2021-04-01,30,Current,0,US,10-50K,2021,4
HSBC,Auto Loan,41931.92,10.76,2023-04-26,15,Current,0,US,10-50K,2023,4
HSBC,Business Loan,321783.93,8.47,2020-12-05,15,Current,0,UK,200-500K,2020,12
HSBC,Mortgage,117356.3,7.07,2023-04-28,5,Current,0,UK,50-200K,2023,4
HSBC,Personal Loan,42836.62,4.94,2020-09-02,25,Current,0,UK,10-50K,2020,9
HSBC,Auto Loan,21266.22,9.53,2019-01-29,25,Current,0,Europe,10-50K,2019,1
HSBC,Mortgage,238019.22,10.21,2022-08-22,5,Current,0,UK,200-500K,2022,8
HSBC,Mortgage,284869.78,3.87,2019-01-27,2,Current,0,US,200-500K,2019,1
HSBC,Credit Card,4526.04,12.45,2020-01-13,30,Current,0,Europe,<10K,2020,1
HSBC,Personal Loan,18659.94,8.98,2019-09-26,20,Current,0,UK,10-50K,2019,9
HSBC,Auto Loan,20057.17,9.25,2022-02-28,3,Current,0,Asia,10-50K,2022,2
HSBC,Personal Loan,48088.79,6.09,2019-02-02,5,Current,0,US,10-50K,2019,2
HSBC,Credit Card,11453.36,5.05,2022-08-28,1,Current,0,US,10-50K,2022,8
